member_id,score,rank
4521,0.6475094887564888,1
85,0.6158971156414446,2
3746,0.6081476038087,3
3401,0.5946894037009279,4
5940,0.5762632411312898,5
829,0.5590670525062353,6
915,0.5580470081912398,7
3666,0.5570776079141727,8
6090,0.556063180818734,9
226,0.5552905976927001,10
6762,0.5512704421764121,11
4475,0.5435382759053642,12
7329,0.5251874104644378,13
4400,0.5245616311719046,14
1258,0.5116206963755139,15
3184,0.5107835592906668,16
4264,0.5105568642130422,17
2655,0.510470707992855,18
1533,0.5103254581812398,19
9192,0.5100668247205573,20
7416,0.509318624422196,21
5683,0.507494019472968,22
2929,0.5066103972390169,23
472,0.505714476558693,24
6296,0.504345024182056,25
6866,0.499951886147163,26
5952,0.498940503006577,27
6185,0.4988567261831043,28
6225,0.49656649281857873,29
9793,0.4961121684111093,30
2538,0.49353140314104155,31
1962,0.4913776577318718,32
2134,0.49017012069750787,33
8667,0.48963958300595756,34
7430,0.48850779471714595,35
9466,0.4884054507689179,36
1388,0.4882405437547998,37
4211,0.4852098922262936,38
4452,0.48422041994256926,39
9229,0.4835315674805591,40
5921,0.48045209149131196,41
6469,0.48035859374248685,42
4249,0.48020854768385546,43
7351,0.476635299882965,44
3248,0.47656923620317854,45
4242,0.47623603272247134,46
7472,0.4758709026489791,47
771,0.47557018830189,48
6361,0.4754571652300619,49
4505,0.47399930404333634,50
3454,0.47383763652854605,51
2317,0.47344395076502244,52
9713,0.47281274981957505,53
8253,0.472452210021516,54
2928,0.47061228389491294,55
8310,0.4684019053657663,56
5440,0.467892272535023,57
5391,0.4672244577896379,58
693,0.4667350990996352,59
8109,0.4659491755800471,60
7226,0.4649543847939452,61
3602,0.46327524224384065,62
102,0.4625549254631363,63
3169,0.4607313824889409,64
1837,0.4602506062600813,65
4759,0.4598862413634775,66
3215,0.45897906987679365,67
4077,0.4589698901231635,68
9518,0.4569456274462099,69
1434,0.45628472042907037,70
8950,0.4562791767091007,71
9442,0.45595281721226316,72
501,0.45586098522231605,73
9630,0.45368180765270044,74
6858,0.4534959215018576,75
9497,0.4531250746844009,76
3541,0.45249622426095254,77
9088,0.45202865729718283,78
6220,0.45014497787004726,79
6648,0.44980742517473904,80
3031,0.4497614424455446,81
7590,0.44921941405948485,82
8497,0.44903330907488914,83
9230,0.4488279238080533,84
1427,0.4480544841874825,85
830,0.44777700002803694,86
1989,0.44758791869258757,87
1389,0.44719688917553485,88
7732,0.44694950841948616,89
5708,0.4467202127153431,90
6479,0.4466496499847922,91
1175,0.44621264496632856,92
8038,0.4461030694669288,93
450,0.44345341899402113,94
1736,0.44322512393915847,95
2864,0.44260742969273453,96
9077,0.4426036834073542,97
7987,0.44122459958431,98
8033,0.4410635355426766,99
1601,0.44059610087318424,100
7757,0.44053417799797867,101
5206,0.43997125231394074,102
9575,0.43995546206271213,103
2717,0.4394124482771913,104
2170,0.43923905416006576,105
3510,0.4392198712817044,106
1448,0.43903221110966595,107
7006,0.43865097156101845,108
1338,0.43837441402011024,109
4624,0.43756431035922094,110
153,0.43746127348781805,111
8740,0.4369382455240604,112
3513,0.43559210802174503,113
7838,0.43549657112134,114
8553,0.43468038814285315,115
2800,0.43384597127929947,116
859,0.43375378050624114,117
4250,0.43335173947298955,118
2453,0.43333141347989884,119
239,0.43281329409201397,120
3925,0.4325750963775615,121
7526,0.43184555376946787,122
5424,0.4315902150564593,123
4348,0.431247453709929,124
9944,0.4309107135157668,125
1058,0.43009694437767587,126
7905,0.4297495683090231,127
2033,0.42950477378809176,128
9338,0.4288872405363511,129
3262,0.42838078693426995,130
3898,0.4279371897654235,131
2881,0.42788701683066144,132
7930,0.42755245126532776,133
2668,0.42744258267877266,134
6788,0.42657454466530853,135
9367,0.4265474240389811,136
640,0.4244976897386262,137
5281,0.42353495134922137,138
6517,0.4234062551537229,139
1583,0.42339660560522246,140
3818,0.42303523327276726,141
2559,0.42288818981376963,142
8221,0.4228060989347793,143
8839,0.42216981537603687,144
9706,0.42202044976898384,145
8735,0.42166200902262524,146
9441,0.4215831115960499,147
7923,0.42095171565518275,148
4756,0.4209205477546209,149
8193,0.42087054090951553,150
3567,0.41979671970148047,151
5957,0.4196636921944127,152
597,0.4196022222674796,153
3636,0.418957502120585,154
5784,0.41870950713349153,155
1586,0.4180061093653332,156
2865,0.4177916302635994,157
5953,0.4177751576561879,158
1036,0.41723390592127446,159
5866,0.41706770795212517,160
4683,0.41675525821162585,161
4658,0.4167348866916254,162
5814,0.41671445628148945,163
880,0.41671288798697625,164
4229,0.4164842889542866,165
5313,0.41636931055079035,166
988,0.4158826105648051,167
54,0.41554099909424214,168
618,0.4154789662377763,169
8294,0.41532659113588133,170
4384,0.4151706429268737,171
3122,0.4139219767599517,172
3522,0.4124923474299561,173
8913,0.41179136214291545,174
4456,0.41133113160328993,175
337,0.4107505760212717,176
2478,0.41060990860026053,177
7350,0.4103238763629136,178
7770,0.4100120352833867,179
9084,0.4092718549210561,180
1993,0.4087469252765649,181
710,0.40807241443844483,182
3944,0.4078108597538486,183
3138,0.407245113180282,184
3791,0.4069561108490823,185
5416,0.4066563444050626,186
9935,0.40649618997287634,187
3960,0.4060876330823957,188
9335,0.40553030010837704,189
4874,0.40533515912000084,190
7440,0.40510118105709303,191
8481,0.4041948843636565,192
8745,0.40414329063024107,193
3418,0.40401656220260207,194
